timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773808845421,6821,HTTP Request,200,OK,Thread Group 1-28,text,true,,97810,272,47,47,https://karaokeivan.com/index.php/login/,313,0,158
1773808845421,313,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,1220,136,47,47,http://karaokeivan.com/index.php/login/,313,0,158
1773808845736,6506,HTTP Request-1,200,OK,Thread Group 1-28,text,true,,96590,136,47,47,https://karaokeivan.com/index.php/login/,6126,0,319
1773808847905,4413,HTTP Request,200,OK,Thread Group 1-53,text,true,,97811,272,46,46,https://karaokeivan.com/index.php/login/,316,0,159
1773808847905,316,HTTP Request-0,301,Moved Permanently,Thread Group 1-53,text,true,,1221,136,46,46,http://karaokeivan.com/index.php/login/,316,0,159
1773808848226,4092,HTTP Request-1,200,OK,Thread Group 1-53,text,true,,96590,136,46,46,https://karaokeivan.com/index.php/login/,3676,0,357
1773808846906,5444,HTTP Request,200,OK,Thread Group 1-43,text,true,,97811,272,45,45,https://karaokeivan.com/index.php/login/,345,0,170
1773808846906,345,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,1220,136,45,45,http://karaokeivan.com/index.php/login/,345,0,170
1773808847252,5098,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,96591,136,45,45,https://karaokeivan.com/index.php/login/,4675,0,364
1773808849199,3347,HTTP Request,200,OK,Thread Group 1-66,text,true,,97810,272,44,44,https://karaokeivan.com/index.php/login/,312,0,159
1773808849199,312,HTTP Request-0,301,Moved Permanently,Thread Group 1-66,text,true,,1220,136,44,44,http://karaokeivan.com/index.php/login/,312,0,159
1773808849513,3033,HTTP Request-1,200,OK,Thread Group 1-66,text,true,,96590,136,44,44,https://karaokeivan.com/index.php/login/,2644,0,327
1773808846318,6433,HTTP Request,200,OK,Thread Group 1-37,text,true,,97810,272,43,43,https://karaokeivan.com/index.php/login/,311,0,153
1773808846318,311,HTTP Request-0,301,Moved Permanently,Thread Group 1-37,text,true,,1220,136,43,43,http://karaokeivan.com/index.php/login/,311,0,153
1773808846630,6121,HTTP Request-1,200,OK,Thread Group 1-37,text,true,,96590,136,43,43,https://karaokeivan.com/index.php/login/,5692,0,369
1773808850893,1920,HTTP Request,200,OK,Thread Group 1-83,text,true,,97811,272,42,42,https://karaokeivan.com/index.php/login/,339,0,171
1773808850893,339,HTTP Request-0,301,Moved Permanently,Thread Group 1-83,text,true,,1221,136,42,42,http://karaokeivan.com/index.php/login/,339,0,171
1773808851234,1579,HTTP Request-1,200,OK,Thread Group 1-83,text,true,,96590,136,42,42,https://karaokeivan.com/index.php/login/,1161,0,347
1773808849497,3326,HTTP Request,200,OK,Thread Group 1-69,text,true,,97812,272,41,41,https://karaokeivan.com/index.php/login/,311,0,156
1773808849497,311,HTTP Request-0,301,Moved Permanently,Thread Group 1-69,text,true,,1221,136,41,41,http://karaokeivan.com/index.php/login/,311,0,156
1773808849809,3014,HTTP Request-1,200,OK,Thread Group 1-69,text,true,,96591,136,41,41,https://karaokeivan.com/index.php/login/,2633,0,326
1773808846115,6837,HTTP Request,200,OK,Thread Group 1-35,text,true,,97812,272,40,40,https://karaokeivan.com/index.php/login/,318,0,157
1773808846115,318,HTTP Request-0,301,Moved Permanently,Thread Group 1-35,text,true,,1221,136,40,40,http://karaokeivan.com/index.php/login/,318,0,157
1773808846433,6519,HTTP Request-1,200,OK,Thread Group 1-35,text,true,,96591,136,40,40,https://karaokeivan.com/index.php/login/,6145,0,331
1773808851295,1899,HTTP Request,200,OK,Thread Group 1-87,text,true,,97810,272,39,39,https://karaokeivan.com/index.php/login/,309,0,157
1773808851295,309,HTTP Request-0,301,Moved Permanently,Thread Group 1-87,text,true,,1220,136,39,39,http://karaokeivan.com/index.php/login/,309,0,157
1773808851605,1589,HTTP Request-1,200,OK,Thread Group 1-87,text,true,,96590,136,39,39,https://karaokeivan.com/index.php/login/,1165,0,355
